k_carriers,window_ms,window_sec,phase_levels,phase_bits,snr_power,snr_db,snr_mode,freq_min_hz,freq_max_hz,freq_spacing_hz,cycles_at_20hz,cycles_at_40hz,fourier_resolution_hz,n_trials,fs_hz,per_carrier_accuracy,codeword_accuracy,target_accuracy
47,50,0.05,4,2.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.43478260869565216,1.0,2.0,20.0,100,1000.0,0.3253191489361702,0.0,0.9
48,50,0.05,4,2.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.425531914893617,1.0,2.0,20.0,100,1000.0,0.3225,0.0,0.9
49,50,0.05,4,2.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.4166666666666667,1.0,2.0,20.0,100,1000.0,0.3373469387755102,0.0,0.9
50,50,0.05,4,2.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.40816326530612246,1.0,2.0,20.0,100,1000.0,0.3286,0.0,0.9
51,50,0.05,4,2.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.4,1.0,2.0,20.0,100,1000.0,0.31823529411764706,0.0,0.9
52,50,0.05,4,2.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.39215686274509803,1.0,2.0,20.0,100,1000.0,0.3325,0.0,0.9
53,50,0.05,4,2.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.38461538461538464,1.0,2.0,20.0,100,1000.0,0.31886792452830187,0.0,0.9
54,50,0.05,4,2.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.37735849056603776,1.0,2.0,20.0,100,1000.0,0.3224074074074074,0.0,0.9
55,50,0.05,4,2.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.37037037037037035,1.0,2.0,20.0,100,1000.0,0.3249090909090909,0.0,0.9
56,50,0.05,4,2.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.36363636363636365,1.0,2.0,20.0,100,1000.0,0.32125,0.0,0.9
57,50,0.05,4,2.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.35714285714285715,1.0,2.0,20.0,100,1000.0,0.31894736842105265,0.0,0.9
58,50,0.05,4,2.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.3508771929824561,1.0,2.0,20.0,100,1000.0,0.31344827586206897,0.0,0.9
59,50,0.05,4,2.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.3448275862068966,1.0,2.0,20.0,100,1000.0,0.3235593220338983,0.0,0.9
60,50,0.05,4,2.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.3389830508474576,1.0,2.0,20.0,100,1000.0,0.3135,0.0,0.9
61,50,0.05,4,2.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.3333333333333333,1.0,2.0,20.0,100,1000.0,0.3177049180327869,0.0,0.9
62,50,0.05,4,2.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.32786885245901637,1.0,2.0,20.0,100,1000.0,0.31274193548387097,0.0,0.9
63,50,0.05,4,2.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.3225806451612903,1.0,2.0,20.0,100,1000.0,0.3196825396825397,0.0,0.9
64,50,0.05,4,2.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.31746031746031744,1.0,2.0,20.0,100,1000.0,0.3128125,0.0,0.9
65,50,0.05,4,2.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.3125,1.0,2.0,20.0,100,1000.0,0.3190769230769231,0.0,0.9
66,50,0.05,4,2.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.3076923076923077,1.0,2.0,20.0,100,1000.0,0.31196969696969695,0.0,0.9
