k_carriers,window_ms,window_sec,phase_levels,phase_bits,snr_power,snr_db,snr_mode,noise_spectrum,f_ref_hz,freq_min_hz,freq_max_hz,freq_spacing_hz,cycles_at_20hz,cycles_at_40hz,fourier_resolution_hz,n_trials,fs_hz,per_carrier_accuracy,codeword_accuracy
3,100,0.1,4,2.0,0.02,-16.989700043360187,per_carrier_power,white,28.284271247461902,20.0,40.0,10.0,2.0,4.0,10.0,2500,1000.0,0.7090666666666666,0.366
4,100,0.1,4,2.0,0.02,-16.989700043360187,per_carrier_power,white,28.284271247461902,20.0,40.0,6.666666666666667,2.0,4.0,10.0,2500,1000.0,0.655,0.1856
5,100,0.1,4,2.0,0.02,-16.989700043360187,per_carrier_power,white,28.284271247461902,20.0,40.0,5.0,2.0,4.0,10.0,2500,1000.0,0.6084,0.0844
6,100,0.1,4,2.0,0.02,-16.989700043360187,per_carrier_power,white,28.284271247461902,20.0,40.0,4.0,2.0,4.0,10.0,2500,1000.0,0.5678666666666666,0.0256
7,100,0.1,4,2.0,0.02,-16.989700043360187,per_carrier_power,white,28.284271247461902,20.0,40.0,3.3333333333333335,2.0,4.0,10.0,2500,1000.0,0.5314857142857143,0.0104
8,100,0.1,4,2.0,0.02,-16.989700043360187,per_carrier_power,white,28.284271247461902,20.0,40.0,2.857142857142857,2.0,4.0,10.0,2500,1000.0,0.5191,0.0044
9,100,0.1,4,2.0,0.02,-16.989700043360187,per_carrier_power,white,28.284271247461902,20.0,40.0,2.5,2.0,4.0,10.0,2500,1000.0,0.5004888888888889,0.0008
10,100,0.1,4,2.0,0.02,-16.989700043360187,per_carrier_power,white,28.284271247461902,20.0,40.0,2.2222222222222223,2.0,4.0,10.0,2500,1000.0,0.48612,0.0008
11,100,0.1,4,2.0,0.02,-16.989700043360187,per_carrier_power,white,28.284271247461902,20.0,40.0,2.0,2.0,4.0,10.0,2500,1000.0,0.47243636363636365,0.0
12,100,0.1,4,2.0,0.02,-16.989700043360187,per_carrier_power,white,28.284271247461902,20.0,40.0,1.8181818181818181,2.0,4.0,10.0,2500,1000.0,0.46423333333333333,0.0
13,100,0.1,4,2.0,0.02,-16.989700043360187,per_carrier_power,white,28.284271247461902,20.0,40.0,1.6666666666666667,2.0,4.0,10.0,2500,1000.0,0.45246153846153847,0.0
14,100,0.1,4,2.0,0.02,-16.989700043360187,per_carrier_power,white,28.284271247461902,20.0,40.0,1.5384615384615385,2.0,4.0,10.0,2500,1000.0,0.4455142857142857,0.0
15,100,0.1,4,2.0,0.02,-16.989700043360187,per_carrier_power,white,28.284271247461902,20.0,40.0,1.4285714285714286,2.0,4.0,10.0,2500,1000.0,0.43650666666666665,0.0
16,100,0.1,4,2.0,0.02,-16.989700043360187,per_carrier_power,white,28.284271247461902,20.0,40.0,1.3333333333333333,2.0,4.0,10.0,2500,1000.0,0.4345,0.0
17,100,0.1,4,2.0,0.02,-16.989700043360187,per_carrier_power,white,28.284271247461902,20.0,40.0,1.25,2.0,4.0,10.0,2500,1000.0,0.42265882352941175,0.0
18,100,0.1,4,2.0,0.02,-16.989700043360187,per_carrier_power,white,28.284271247461902,20.0,40.0,1.1764705882352942,2.0,4.0,10.0,2500,1000.0,0.4175111111111111,0.0
19,100,0.1,4,2.0,0.02,-16.989700043360187,per_carrier_power,white,28.284271247461902,20.0,40.0,1.1111111111111112,2.0,4.0,10.0,2500,1000.0,0.4168631578947368,0.0
20,100,0.1,4,2.0,0.02,-16.989700043360187,per_carrier_power,white,28.284271247461902,20.0,40.0,1.0526315789473684,2.0,4.0,10.0,2500,1000.0,0.41182,0.0
21,100,0.1,4,2.0,0.02,-16.989700043360187,per_carrier_power,white,28.284271247461902,20.0,40.0,1.0,2.0,4.0,10.0,2500,1000.0,0.4077904761904762,0.0
22,100,0.1,4,2.0,0.02,-16.989700043360187,per_carrier_power,white,28.284271247461902,20.0,40.0,0.9523809523809523,2.0,4.0,10.0,2500,1000.0,0.40285454545454547,0.0
23,100,0.1,4,2.0,0.02,-16.989700043360187,per_carrier_power,white,28.284271247461902,20.0,40.0,0.9090909090909091,2.0,4.0,10.0,2500,1000.0,0.3983304347826087,0.0
24,100,0.1,4,2.0,0.02,-16.989700043360187,per_carrier_power,white,28.284271247461902,20.0,40.0,0.8695652173913043,2.0,4.0,10.0,2500,1000.0,0.39403333333333335,0.0
25,100,0.1,4,2.0,0.02,-16.989700043360187,per_carrier_power,white,28.284271247461902,20.0,40.0,0.8333333333333334,2.0,4.0,10.0,2500,1000.0,0.393664,0.0
26,100,0.1,4,2.0,0.02,-16.989700043360187,per_carrier_power,white,28.284271247461902,20.0,40.0,0.8,2.0,4.0,10.0,2500,1000.0,0.3877846153846154,0.0
27,100,0.1,4,2.0,0.02,-16.989700043360187,per_carrier_power,white,28.284271247461902,20.0,40.0,0.7692307692307693,2.0,4.0,10.0,2500,1000.0,0.38705185185185187,0.0
28,100,0.1,4,2.0,0.02,-16.989700043360187,per_carrier_power,white,28.284271247461902,20.0,40.0,0.7407407407407407,2.0,4.0,10.0,2500,1000.0,0.3838285714285714,0.0
29,100,0.1,4,2.0,0.02,-16.989700043360187,per_carrier_power,white,28.284271247461902,20.0,40.0,0.7142857142857143,2.0,4.0,10.0,2500,1000.0,0.38335172413793106,0.0
30,100,0.1,4,2.0,0.02,-16.989700043360187,per_carrier_power,white,28.284271247461902,20.0,40.0,0.6896551724137931,2.0,4.0,10.0,2500,1000.0,0.3774266666666667,0.0
1,100,0.1,4,2.0,0.03,-15.228787452803376,per_carrier_power,white,28.284271247461902,20.0,40.0,,2.0,4.0,10.0,2500,1000.0,0.792,0.792
2,100,0.1,4,2.0,0.03,-15.228787452803376,per_carrier_power,white,28.284271247461902,20.0,40.0,20.0,2.0,4.0,10.0,2500,1000.0,0.787,0.62
3,100,0.1,4,2.0,0.03,-15.228787452803376,per_carrier_power,white,28.284271247461902,20.0,40.0,10.0,2.0,4.0,10.0,2500,1000.0,0.7952,0.5044
4,100,0.1,4,2.0,0.03,-15.228787452803376,per_carrier_power,white,28.284271247461902,20.0,40.0,6.666666666666667,2.0,4.0,10.0,2500,1000.0,0.7061,0.2612
5,100,0.1,4,2.0,0.03,-15.228787452803376,per_carrier_power,white,28.284271247461902,20.0,40.0,5.0,2.0,4.0,10.0,2500,1000.0,0.63792,0.1124
6,100,0.1,4,2.0,0.03,-15.228787452803376,per_carrier_power,white,28.284271247461902,20.0,40.0,4.0,2.0,4.0,10.0,2500,1000.0,0.5881333333333333,0.0392
